health_metric,emissions_metric,n_state_year_pairs,n_predictors,raw_beta,standardized_beta,abs_standardized_beta,intercept,r_squared,adjusted_r_squared,condition_number
potentially_avoidable_deaths,copper_air_kg,40,27,-0.0027028418610927233,-0.05353361832000171,0.05353361832000171,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,nickel_water_kg,40,27,0.07666807966434687,0.044756291350931454,0.044756291350931454,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,lead_water_kg,40,27,-0.011070416452622087,-0.03251206672030123,0.03251206672030123,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,lead_land_kg,40,27,-0.003379943404794293,-0.024742234602403303,0.024742234602403303,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,chromium_land_kg,40,27,0.006900935583500411,0.022049365716811826,0.022049365716811826,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,cadmium_water_kg,40,27,-0.06929835176102082,-0.015809987357977034,0.015809987357977034,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,copper_land_kg,40,27,0.008626467325236302,0.013713555191346212,0.013713555191346212,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
premature_deaths,zinc_air_kg,40,27,-0.16589487706686093,-2.665948093178946,2.665948093178946,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,nickel_air_kg,40,27,-0.10299143675050489,-2.110325570852583,2.110325570852583,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,total_air_emission_kg,40,27,2.3610050425083826e-05,1.8032489748586877,1.8032489748586877,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,pm10_air_kg,40,27,5.6451266210578963e-05,1.7849091754543709,1.7849091754543709,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,pm25_air_kg,40,27,0.0012473999070089009,0.7832788068768536,0.7832788068768536,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,total_water_emission_kg,40,27,0.00031509239730040953,0.6814546352386066,0.6814546352386066,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,cadmium_land_kg,40,27,41.00789207883847,0.47683689371121196,0.47683689371121196,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,chromium_air_kg,40,27,-0.02770248929265317,-0.46428515742935755,0.46428515742935755,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,mercury_air_kg,40,27,-2.352543251106898,-0.35666348861928415,0.35666348861928415,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
premature_deaths,tvoc_air_kg,40,27,0.00014617591140134354,0.34899973183385496,0.34899973183385496,207.09605290379926,0.9951133056666681,0.9841182434166713,877691315.9059019
